Designator,Mid X,Mid Y,Rotation,Layer
C1,92.401283,-100.598717,45.0,top
C10,54.5,-92.843147,225.0,top
C11,95.694177,-97.305823,225.0,top
C12,90.0,-83.0,225.0,top
C13,86.75,-31.9625,90.0,top
C14,113.4325,-76.3,0.0,top
C15,138.0675,-76.1,0.0,top
C16,162.434166,-76.1,0.0,top
C17,187.113333,-76.8,0.0,top
C18,113.0675,-101.025,0.0,top
C19,137.8075,-100.965,0.0,top
C2,97.401283,-105.598717,225.0,top
C20,162.4725,-101.005,0.0,top
C21,187.06,-101.125,0.0,top
C22,65.3,-77.02,270.0,top
C23,63.0,-69.42,270.0,top
C24,65.5,-61.72,270.0,top
C25,75.4,-54.198204,0.0,top
C26,83.5,-54.12,0.0,top
C27,89.9325,-58.62,0.0,top
C28,72.75,-31.5,270.0,top
C29,95.0,-69.32,270.0,top
C3,68.4675,-51.8,0.0,top
C30,93.0,-77.02,270.0,top
C31,65.1,-39.95,180.0,top
C32,80.35,-39.95,180.0,top
C33,95.6,-39.95,0.0,top
C34,115.5825,-30.6,180.0,top
C35,139.925,-30.6,180.0,top
C36,164.3675,-30.6,180.0,top
C37,189.0,-30.6,180.0,top
C38,115.35,-155.8,0.0,top
C39,140.0,-155.8,0.0,top
C4,90.0,-46.0675,90.0,top
C40,164.4,-155.8,0.0,top
C41,189.0,-155.8,0.0,top
C42,86.4325,-79.0,0.0,top
C5,105.5,-45.9325,90.0,top
C6,81.0,-104.0,315.0,top
C7,94.0,-88.3,225.0,top
C8,88.0,-104.0,45.0,top
C9,74.098717,-88.598717,315.0,top
D1,115.391667,-80.8,0.0,top
D10,68.715,-76.97,0.0,top
D11,66.436693,-69.32,0.0,top
D12,68.8,-61.72,0.0,top
D13,75.4,-56.92,0.0,top
D14,83.5,-57.02,0.0,top
D15,89.9,-61.62,0.0,top
D16,92.4,-69.32,0.0,top
D17,89.9,-77.02,0.0,top
D18,68.485,-40.5,0.0,top
D19,83.785,-40.5,0.0,top
D2,140.0,-80.8,0.0,top
D20,98.985,-40.5,0.0,top
D3,164.41,-80.8,0.0,top
D4,188.93,-81.2,0.0,top
D5,115.35,-105.575,0.0,top
D6,139.79,-105.615,0.0,top
D7,164.39,-105.655,0.0,top
D8,188.96,-105.625,0.0,top
J1,67.51,-137.66,180.0,top
J2,50.05,-81.11,0.0,top
J4,59.89,-26.895,180.0,top
J5,201.6,-156.0,0.0,top
J6,151.77,-30.0,0.0,top
L1,93.694177,-95.805823,90.0,top
R1,115.4,-80.8,180.0,bottom
R11,139.90875,-80.8,180.0,bottom
R12,164.9025,-38.0,0.0,top
R13,164.4175,-80.8,180.0,bottom
R14,189.0975,-38.0,0.0,top
R15,188.92625,-80.8,180.0,bottom
R16,115.0975,-147.5,0.0,top
R17,115.2,-105.625,0.0,bottom
R18,140.0975,-148.0,0.0,top
R19,139.786667,-105.625,0.0,bottom
R2,92.5,-105.5,135.0,top
R20,164.5975,-148.5,0.0,top
R21,164.373333,-105.625,0.0,bottom
R22,189.4025,-149.0,0.0,top
R23,188.96,-105.625,0.0,bottom
R24,57.75,-74.25,90.0,top
R25,59.739999,-74.25,90.0,top
R3,115.5975,-36.5,0.0,top
R4,75.077504,-103.422496,45.0,top
R5,74.077504,-102.422496,45.0,top
R6,76.077504,-104.422496,45.0,top
R7,57.0,-35.0,180.0,top
R8,64.0,-35.0,0.0,top
R9,140.0,-37.5,0.0,top
RV1,79.5,-72.67,90.0,top
SW1,68.5,-46.25,0.0,top
SW2,54.5,-98.5,225.0,top
SW4,83.75,-46.25,0.0,top
SW5,99.0,-46.25,0.0,top
U1,84.0,-93.5,90.0,top
U2,59.7625,-39.2,90.0,top
U5,80.0,-31.5,90.0,top
Y1,95.0,-103.0,45.0,top
